QKEY,INTERVIEW_START_W152,INTERVIEW_END_W152,DEVICE_TYPE_W152,SVYMODE_W152,LANG_W152,FORM_W152,AI_HEARD_W152,CNCEXC_W152,USEAI_W152,AICONTROL1_W152,AICONTROL2_W152,AICHANGE_W152,AIFUTRIMPCT_a_W152,AIFUTRIMPCT_b_W152,AIFUTRIMPCT_c_W152,AIFUTRIMPCT_d_W152,AIFUTRIMPCT_e_W152,AIFUTRIMPCT_f_W152,AIFUTRIMPCT_g_W152,AIFUTRIMPCT_h_W152,AIFUTRIMPCT_i_W152,AIFUTRIMPCT_j_W152,AIJOBS_W152,AIJOBIMPCT_a_W152,AIJOBIMPCT_b_W152,AIJOBIMPCT_c_W152,AIJOBIMPCT_d_W152,AIJOBIMPCT_e_W152,AIJOBIMPCT_f_W152,AIJOBIMPCT_g_W152,AIJOBIMPCT_h_W152,AIJOBIMPCT_i_W152,AIJOBIMPCT_j_W152,HUMANVAI_a_W152,HUMANVAI_b_W152,HUMANVAI_c_W152,HUMANVAI_d_W152,HUMANVAI_e_W152,HUMANVAI_f_W152,HUMANVAI_g_W152,HUMANVAI_h_W152,PERSBENHRM_W152,TRSTAIPRS_W152,AICONCERN_a_W152,AICONCERN_b_W152,AICONCERN_c_W152,AICONCERN_d_W152,AICONCERN_e_W152,AICONCERN_f_W152,AICONCERN_g_W152,FUTRAI_a_W152,FUTRAI_b_W152,FUTRAI_c_W152,FUTRAI_d_W152,DISCRIM1_a_W152,DISCRIM1_b_W152,DISCRIM1_c_W152,DISCRIM1_d_W152,DISCRIM1_e_W152,DISCRIM1_f_W152,AIREG_W152,REGCONFG_W152,REGCONFI_W152,CHATAWARE_W152,CHATUSE_W152,CHATHELPFUL_W152,DRIVE1_W152,DRIVE2_a_W152,DRIVE2_b_W152,DRIVE2_c_W152,DRIVE2_d_W152,DRIVE2_e_W152,DRIVE2_f_W152,DRIVE3_W152,DRIVER_W152,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W152
100314,15-Aug-2024 15:30:49,15-Aug-2024 15:40:52,1,1,9,1,2,2,5,3,3,6,2,2,3,2,3,,,,,,2,3,1,2,2,3,,,,,,1,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,3,3,5,5,5,5,5,5,1,6,2,3,,,4,1,1,1,1,1,1,2,1,2,2,3,3,4,1,2,3,2,,1,1,1,1,1,1,2,1,5,1,,1,2,1,7,3,3,1,2,0.6397685564021397
103379,15-Aug-2024 13:58:04,15-Aug-2024 14:21:23,3,1,9,1,2,2,5,5,2,4,2,3,4,4,5,,,,,,3,1,1,2,2,3,,,,,,3,2,2,3,2,2,2,2,1,2,2,1,2,1,2,2,2,3,2,5,5,3,4,3,3,4,4,1,5,5,3,,,5,1,1,2,2,2,2,2,1,1,3,5,2,4,1,2,3,2,,1,1,1,1,1,1,1,1,2,1,,1,1,1,9,2,5,2,3,1.338839921600407
104727,15-Aug-2024 07:18:22,15-Aug-2024 07:24:47,1,1,9,2,2,3,5,2,2,3,,,,,,3,6,3,6,5,2,,,,,,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,1,1,1,2,1,1,2,2,2,4,4,5,5,5,5,5,5,2,5,5,3,,,4,1,2,2,3,1,2,3,1,2,2,3,3,3,1,3,2,2,,1,1,1,1,1,12,,3,6,1,,1,1,1,99,2,2,2,99,0.9093601222014811
106590,13-Aug-2024 22:30:51,13-Aug-2024 22:36:57,1,1,9,1,2,2,5,5,2,5,2,4,4,3,6,,,,,,2,3,2,2,2,3,,,,,,4,1,2,1,3,1,4,4,1,2,1,1,1,1,4,1,2,1,1,5,5,3,4,4,4,5,5,2,4,4,3,,,3,2,1,1,1,1,1,2,1,1,4,9,2,3,2,1,6,2,,1,1,1,1,1,12,,3,5,3,1,1,2,1,8,3,2,1,2,0.919895505342201
107668,13-Aug-2024 15:23:41,13-Aug-2024 15:30:23,1,1,9,2,2,2,3,4,2,4,,,,,,4,4,3,6,4,2,,,,,,2,2,3,4,3,1,3,2,4,2,2,2,3,3,2,3,1,2,2,2,2,2,2,3,4,4,5,5,5,5,1,5,2,4,4,2,2,,4,2,2,1,1,1,2,4,1,2,3,7,3,3,2,1,5,2,,1,1,1,1,6,12,,3,6,3,1,1,2,1,9,3,1,1,3,0.7199926431957806
108435,13-Aug-2024 15:00:52,13-Aug-2024 15:07:13,1,1,9,1,2,2,2,4,2,4,6,4,4,4,6,,,,,,2,2,2,2,4,3,,,,,,2,2,2,2,2,4,3,2,3,2,2,2,2,2,2,3,3,4,6,3,4,5,5,5,5,5,5,3,4,4,2,2,,2,2,1,2,99,1,2,3,2,1,2,3,2,4,2,1,6,2,,1,1,1,1,1,2,2,2,4,1,,1,1,1,9,2,2,2,3,0.948394135717042
108592,13-Aug-2024 20:56:36,13-Aug-2024 21:09:05,3,1,9,1,1,2,3,5,2,3,2,3,4,3,3,,,,,,1,3,1,2,2,3,,,,,,1,2,2,3,2,2,4,4,1,99,1,1,1,1,1,1,1,3,2,3,3,4,4,4,4,4,4,3,4,4,2,2,,2,3,2,3,3,2,3,4,1,1,2,3,2,4,2,2,4,2,,1,2,2,1,3,1,2,1,2,2,,2,4,1,5,4,2,2,2,1.1818085902475495
112238,14-Aug-2024 11:09:25,14-Aug-2024 11:16:30,3,1,9,1,1,3,5,3,2,3,2,3,3,3,4,,,,,,2,3,1,1,1,3,,,,,,4,1,3,1,2,2,3,2,3,3,2,2,2,2,3,2,3,3,3,3,4,5,5,5,5,5,5,2,4,4,3,,,3,1,1,1,1,1,1,3,1,1,4,8,3,4,2,3,2,2,,1,1,1,1,2,12,,3,5,1,,1,1,1,6,2,2,2,2,0.9219404443218486
112371,16-Aug-2024 12:28:44,16-Aug-2024 12:46:43,1,1,9,2,2,2,5,4,2,5,,,,,,3,4,4,3,3,2,,,,,,2,2,99,2,3,2,3,2,3,3,2,4,3,3,2,2,2,2,2,3,2,2,3,3,5,4,1,1,1,1,2,3,2,4,4,2,2,,5,1,1,1,1,1,3,3,2,1,1,2,2,3,2,2,4,1,3,1,1,3,1,1,2,2,2,4,3,1,1,2,1,3,3,3,2,1,1.5180671141015718
116422,14-Aug-2024 12:46:23,14-Aug-2024 12:53:35,3,1,9,1,2,2,5,4,2,4,4,4,6,4,4,,,,,,2,4,1,3,2,3,,,,,,2,4,3,4,3,3,2,3,1,2,3,1,1,1,2,2,1,3,6,5,5,5,5,5,5,5,5,2,4,4,3,,,3,2,3,3,3,1,2,4,2,1,2,4,3,4,2,3,2,2,,1,1,1,1,5,12,,3,5,3,2,2,3,1,5,3,2,1,1,0.6576294805800115
