QKEY,F_INC_SDT1,F_EDUCCAT,F_AGECAT,F_GENDER,F_RACECMB,F_RACETHNMOD,CHATUSE_W152,USEAI_W152
100314,7.0,2.0,4.0,1.0,1.0,1.0,,5.0
103379,9.0,2.0,4.0,1.0,1.0,1.0,,5.0
104727,,3.0,3.0,1.0,1.0,1.0,,5.0
106590,8.0,1.0,3.0,2.0,1.0,1.0,,5.0
107668,9.0,1.0,3.0,2.0,1.0,1.0,0.0,3.0
108435,9.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0
108592,5.0,2.0,4.0,2.0,2.0,2.0,0.0,3.0
112238,6.0,3.0,4.0,2.0,1.0,1.0,,5.0
112371,3.0,2.0,3.0,2.0,1.0,3.0,0.0,5.0
116422,5.0,3.0,4.0,2.0,1.0,1.0,,5.0
116591,2.0,3.0,4.0,2.0,1.0,1.0,,5.0
118110,,3.0,3.0,2.0,1.0,1.0,,5.0
118218,3.0,2.0,4.0,2.0,1.0,1.0,0.0,2.0
126211,2.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0
127160,5.0,1.0,2.0,2.0,5.0,4.0,0.0,5.0
127284,6.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0
133700,2.0,3.0,4.0,2.0,1.0,1.0,,5.0
144736,9.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0
145364,9.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0
145447,9.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0
145887,,1.0,4.0,2.0,1.0,1.0,0.0,4.0
146434,,3.0,4.0,2.0,1.0,1.0,,5.0
149866,2.0,3.0,4.0,2.0,1.0,1.0,0.0,5.0
152957,1.0,3.0,4.0,2.0,1.0,1.0,,5.0
154578,1.0,3.0,4.0,2.0,1.0,3.0,,5.0
156660,6.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0
159075,1.0,2.0,4.0,1.0,4.0,4.0,0.0,2.0
161820,3.0,1.0,3.0,2.0,1.0,1.0,,5.0
162119,1.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0
164425,2.0,3.0,4.0,1.0,1.0,1.0,0.0,5.0
175192,5.0,2.0,3.0,1.0,1.0,1.0,0.0,5.0
175363,9.0,1.0,3.0,1.0,4.0,4.0,,4.0
176680,3.0,2.0,3.0,2.0,1.0,1.0,1.0,5.0
176940,9.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0
178470,1.0,2.0,3.0,2.0,2.0,2.0,1.0,5.0
179979,1.0,3.0,4.0,2.0,1.0,1.0,,4.0
185944,3.0,3.0,4.0,2.0,4.0,4.0,,5.0
186444,1.0,2.0,3.0,2.0,1.0,1.0,0.0,4.0
186980,1.0,1.0,3.0,2.0,1.0,1.0,0.0,5.0
188109,9.0,1.0,4.0,1.0,2.0,2.0,0.0,5.0
191336,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0
192568,6.0,1.0,4.0,1.0,1.0,1.0,0.0,5.0
194477,3.0,3.0,3.0,2.0,1.0,3.0,,1.0
196610,9.0,1.0,3.0,2.0,3.0,5.0,1.0,3.0
198176,5.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0
198205,4.0,2.0,4.0,1.0,1.0,1.0,0.0,2.0
201095,9.0,1.0,4.0,1.0,1.0,3.0,,5.0
204164,7.0,2.0,4.0,1.0,1.0,3.0,,3.0
204329,5.0,1.0,4.0,2.0,1.0,1.0,,5.0
205459,1.0,3.0,4.0,2.0,1.0,1.0,,5.0
207436,9.0,2.0,4.0,2.0,1.0,1.0,,5.0
208237,3.0,1.0,4.0,2.0,1.0,1.0,0.0,5.0
210306,9.0,2.0,4.0,1.0,1.0,1.0,,3.0
212492,7.0,2.0,4.0,1.0,1.0,1.0,,5.0
213161,9.0,1.0,4.0,2.0,4.0,4.0,0.0,4.0
213541,8.0,3.0,3.0,2.0,1.0,1.0,0.0,2.0
215767,8.0,2.0,2.0,2.0,1.0,1.0,,5.0
224561,1.0,2.0,4.0,2.0,2.0,2.0,,5.0
230587,1.0,3.0,3.0,1.0,1.0,1.0,,5.0
232685,,2.0,3.0,1.0,2.0,2.0,,2.0
236140,9.0,1.0,2.0,2.0,1.0,1.0,,4.0
236265,7.0,1.0,4.0,2.0,1.0,1.0,,5.0
